,time,is_weekend,origin,destination,online,prediction,gx,lsl,zyb
5000016761311,2019-04-04 23:43:08,0,瑞欧齐通大厦-东北门,四川省成都市青羊区罗家碾街31号,罗家碾街31号,四川省成都市青羊区罗家碾街31号, 四川省成都市青羊区罗家碾街31号,,四川省成都市青羊区罗家碾街31号
5000018559301,2019-04-04 20:07:16,0,佰仕廷·红楠酒店-东北门,成都339,成都339,佰仕廷·红楠酒店,,欧尚(蜀汉路店) ,澳林春天
5000022897089,2019-04-09 11:35:59,0,四川省医学科学院,丽都世家A区,丽都世家A区,丽都世家A区,,丽都世家A区 ,丽都世家A区
5000064559664,2019-04-09 21:43:37,0,成都金牛万达广场西南侧,懋园九里居,懋园九里居,懋园九里居,,懋园九里居 ,懋园九里居
5000070865648,2019-04-14 20:47:45,1,骑士大道温泉大道三段口站-公交站,天府家园,天府家园,成都师范学院教育学院,,成都师范学院教育学院 ,花样年·花样城
5000089176182,2019-04-06 14:31:02,1,四川大学江安校区-南二门,丽枫酒店(双流国际机场店),丽枫酒店(双流国际机场店),成都大悦城, 世豪广场,,世豪广场
5000093269682,2019-04-16 11:26:29,0,彪哥超市,中国西部国际珠宝文化创意中心,中国西部国际珠宝文化创意中心,彪哥超市,,中国西部国际珠宝文化创意中心 ,中国西部国际珠宝文化创意中心
5000130499820,2019-04-14 07:46:11,1,优派立方-东南门,郫县客运中心,郫县客运中心,龙城国际5期, 龙城国际5期,龙城国际5期,
5000145416681,2019-03-29 00:00:59,0,浣花黉台酒店餐厅,成都双流国际机场T2航站楼,成都双流国际机场T2航站楼,小酒馆(玉林西路店),,哈哈曲艺社(峨影厂店),小酒馆(玉林西路店)
5000147397374,2019-04-09 18:45:58,0,博尔特酒店-西北门,群光广场,群光广场,荷花池百货附1区, 荷花池百货附1区,荷花池百货附1区,
5000157885814,2019-04-03 08:33:45,0,水木华夏-北门,成都双流国际机场T2航站楼,成都双流国际机场T2航站楼,海滨城购物中心, T1外小广场熊猫柱,T1外小广场熊猫柱,
5000167764266,2019-04-14 11:06:48,1,成都市龙泉驿区第一人民医院-东2门对面,百悦城3期,百悦城3期,百悦城3期,,百悦城3期 ,百悦城3期
5000180114637,2019-04-16 13:26:09,0,成都创行记家庭式公寓对面,成都棕南医院,成都棕南医院,成都市锦江区胜利中学(西门), 成都市锦江区胜利中学(西门),成都东站,
5000184625102,2019-03-18 14:55:58,0,红旗超市(营康路便利店),成都东站-东进站口,成都东站-东进站口,锦里古街, 成都东站-东进站口,,成都东站-东进站口
5000198522009,2019-04-09 03:53:57,0,乡村基(火车北站店)-上车点,城北优品道,416医院·体检部,416医院·体检部, 城北优品道,,城北优品道
5000211186795,2019-04-15 13:29:51,0,人民公园-西北门,四川省交通运输厅,四川省交通运输厅,SPACE CLUB(欢乐颂店), 上海银行(少城路支行),,四川省交通运输厅
5000212109088,2019-04-05 08:53:09,0,成都味道三缺一(簇桥店)-上车点,好利来(外双楠店),武青南路-地铁站,好利来(外双楠店), 好利来(外双楠店),好利来(外双楠店),
17592201216845,2019-04-09 16:59:00,0,大慈寺市民中心,鲜椒自助火锅,春熙路步行街,春熙路步行街,,锦江花园-东南门 ,锦江花园-东南门
17592208136604,2019-04-03 17:45:25,0,皇经花园-西门,高新地铁站A口,高新地铁站A口,皇经花园(经天中路),,成都市锦江区妇幼保健院-东南门 ,成都市锦江区妇幼保健院-东南门
17592209758348,2019-04-12 14:43:49,0,印象李庄家宴馆,百伦广场(郫都店),百伦广场(郫都店),郫县人民医院, 郫县人民医院,杜鹃酒店,
17592283010982,2019-04-14 15:14:53,1,迎宾大道-D口,四川电影电视学院金牛校区,四川电影电视学院金牛校区,四川电影电视学院金牛校区,,四川电影电视学院金牛校区 ,四川电影电视学院金牛校区
17592285207488,2019-04-13 18:44:40,1,桃源社区-东南门对面,四川文轩职业学院,四川文轩职业学院,四川文轩职业学院,,四川文轩职业学院 ,四川文轩职业学院
17592333312652,2019-04-13 22:10:55,1,府城大道益州大道口站-公交站,神仙树·缤纷,神仙树·缤纷,金雅迪彩印, 神仙树·缤纷,,神仙树·缤纷
17592338902108,2019-04-16 18:50:12,0,新上街南站-公交站,天悦府-南门,天悦府-南门,天悦府-南门, 天悦府-南门,,锦苑-南门
17592366848945,2019-03-22 14:58:49,0,中国西部国际博览城-1号门,7天酒店(成都华阳中心店),7天酒店(成都华阳中心店),荷花池服装城, 荷花池服装城,荷花池服装城,
